SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
83736.0,9.0,2.0,2.0,42.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.397605346934028e-79,2.0,5.397605346934028e-79,2.0,42.0,1.0,4.0,3.0,,17627.674984,18234.736219,2.0,126.0,7.0,7.0,1.23
83741.0,9.0,2.0,1.0,22.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,4.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,47.0,1.0,4.0,1.0,5.0,37043.087007,39353.307397,2.0,128.0,7.0,7.0,2.08
83744.0,9.0,2.0,1.0,56.0,,4.0,4.0,1.0,,2.0,,1.0,1.0,,,3.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,1.0,56.0,1.0,3.0,3.0,,20395.53531,20068.662891,2.0,126.0,3.0,3.0,1.19
83748.0,9.0,2.0,1.0,3.0,,4.0,4.0,2.0,41.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,3.0,5.397605346934028e-79,5.397605346934028e-79,2.0,54.0,1.0,4.0,5.0,,10988.317325,11184.295239,2.0,131.0,6.0,6.0,0.94
83753.0,9.0,2.0,1.0,15.0,,4.0,4.0,1.0,182.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.397605346934028e-79,1.0,5.397605346934028e-79,2.0,50.0,1.0,3.0,1.0,2.0,11836.753445,14181.702736,1.0,119.0,8.0,8.0,2.49
83755.0,9.0,2.0,1.0,67.0,,4.0,4.0,2.0,,1.0,1.0,1.0,1.0,,,5.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,67.0,1.0,5.0,2.0,,14080.095558,13991.639152,1.0,126.0,5.0,5.0,2.04
83760.0,9.0,2.0,2.0,3.0,,4.0,4.0,2.0,38.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,6.0,6.0,2.0,2.0,5.397605346934028e-79,2.0,31.0,1.0,3.0,77.0,,8862.399321,8919.396129,2.0,126.0,7.0,7.0,1.1
83762.0,9.0,2.0,2.0,27.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,21.0,1.0,3.0,5.0,,38387.34103,43424.328288,1.0,132.0,8.0,6.0,2.12
83770.0,9.0,2.0,1.0,15.0,,4.0,4.0,1.0,183.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,3.0,5.397605346934028e-79,1.0,52.0,1.0,4.0,3.0,,13912.889251,15588.713904,2.0,132.0,4.0,4.0,0.66
83781.0,9.0,2.0,2.0,27.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,1.0,2.0,60.0,1.0,5.0,2.0,,34068.859547,38537.18944,2.0,119.0,77.0,77.0,
83786.0,9.0,2.0,1.0,51.0,,4.0,4.0,2.0,,2.0,,1.0,1.0,,,4.0,5.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,1.0,64.0,1.0,5.0,5.0,,25558.45369,28391.195299,2.0,129.0,77.0,77.0,
